Num,Lat,Lon,Value
1111,1.75,-71.75,5
1112,2.25,-71.75,5
1113,2.75,-71.75,5
1114,3.25,-71.75,5
1115,3.75,-71.75,5
1116,4.25,-71.75,5
1117,4.75,-71.75,5
1118,5.25,-71.75,5
1119,5.75,-71.75,5
1120,6.25,-71.75,5
1128,-17.75,-71.25,3
1129,-17.25,-71.25,3
1130,-16.75,-71.25,3
1131,-16.25,-71.25,3
1132,-15.75,-71.25,3
1133,-15.25,-71.25,3
1134,-14.75,-71.25,3
1135,-14.25,-71.25,3
1136,-13.75,-71.25,3
1137,-13.25,-71.25,4
1138,-12.75,-71.25,4
1139,-12.25,-71.25,4
1140,-11.75,-71.25,4
1141,-11.25,-71.25,4
1142,-10.75,-71.25,1
1143,-10.25,-71.25,1
1144,-9.75,-71.25,1
1145,-9.25,-71.25,1
1146,-8.75,-71.25,1
1147,-8.25,-71.25,1
1148,-7.75,-71.25,4
1149,-7.25,-71.25,4
1150,-6.75,-71.25,4
1151,-6.25,-71.25,4
1152,-5.75,-71.25,4
1153,-5.25,-71.25,4
1154,-4.75,-71.25,4
1155,-4.25,-71.25,4
1156,-3.75,-71.25,4
1157,-3.25,-71.25,4
1158,-2.75,-71.25,4
1159,-2.25,-71.25,4
1160,-1.75,-71.25,5
1161,-1.25,-71.25,5
1162,-0.75,-71.25,5
1163,-0.25,-71.25,5
1164,0.25,-71.25,5
1165,0.75,-71.25,5
1166,1.25,-71.25,5
1167,1.75,-71.25,5
1168,2.25,-71.25,5
1169,2.75,-71.25,5
1170,3.25,-71.25,5
1171,3.75,-71.25,5
1172,4.25,-71.25,5
1173,4.75,-71.25,5
1174,5.25,-71.25,5
1175,5.75,-71.25,5
1176,6.25,-71.25,5
1183,-18.25,-70.75,3
1184,-17.75,-70.75,3
1185,-17.25,-70.75,3
1186,-16.75,-70.75,3
1187,-16.25,-70.75,3
1188,-15.75,-70.75,3
1189,-15.25,-70.75,3
1190,-14.75,-70.75,3
1191,-14.25,-70.75,3
1192,-13.75,-70.75,4
1193,-13.25,-70.75,4
1194,-12.75,-70.75,4
1195,-12.25,-70.75,4
1196,-11.75,-70.75,4
1197,-11.25,-70.75,1
1198,-10.75,-70.75,1
1199,-10.25,-70.75,1
1200,-9.75,-70.75,1
1201,-9.25,-70.75,1
1202,-8.75,-70.75,1
1203,-8.25,-70.75,1
1204,-7.75,-70.75,4
1205,-7.25,-70.75,4
1206,-6.75,-70.75,4
1207,-6.25,-70.75,4
1208,-5.75,-70.75,4
1209,-5.25,-70.75,4
1210,-4.75,-70.75,4
1211,-4.25,-70.75,4
1212,-3.75,-70.75,4
1213,-3.25,-70.75,4
1214,-2.75,-70.75,4
1215,-2.25,-70.75,4
1216,-1.75,-70.75,5
1217,-1.25,-70.75,5
1218,-0.75,-70.75,5
1219,-0.25,-70.75,5
1220,0.25,-70.75,5
1221,0.75,-70.75,5
1222,1.25,-70.75,5
1223,1.75,-70.75,5
1224,2.25,-70.75,5
1225,2.75,-70.75,5
1226,3.25,-70.75,5
1227,3.75,-70.75,5
1228,4.25,-70.75,5
1229,4.75,-70.75,5
1230,5.25,-70.75,5
1231,5.75,-70.75,5
1232,6.25,-70.75,2
1233,-21.25,-70.25,3
1234,-20.75,-70.25,3
1235,-20.25,-70.25,3
1236,-19.75,-70.25,3
1237,-19.25,-70.25,3
1238,-18.75,-70.25,3
1239,-18.25,-70.25,3
1240,-17.75,-70.25,3
1241,-17.25,-70.25,3
1242,-16.75,-70.25,3
1243,-16.25,-70.25,3
1244,-15.75,-70.25,3
1245,-15.25,-70.25,3
1246,-14.75,-70.25,3
1247,-14.25,-70.25,3
1248,-13.75,-70.25,4
1249,-13.25,-70.25,4
1250,-12.75,-70.25,4
1251,-12.25,-70.25,4
1252,-11.75,-70.25,1
1253,-11.25,-70.25,1
1254,-10.75,-70.25,1
1255,-10.25,-70.25,1
1256,-9.75,-70.25,1
1257,-9.25,-70.25,1
1258,-8.75,-70.25,1
1259,-8.25,-70.25,4
1260,-7.75,-70.25,4
1261,-7.25,-70.25,4
1262,-6.75,-70.25,4
1263,-6.25,-70.25,4
1264,-5.75,-70.25,4
1265,-5.25,-70.25,4
1266,-4.75,-70.25,4
1267,-4.25,-70.25,4
1268,-3.75,-70.25,4
1269,-3.25,-70.25,4
1270,-2.75,-70.25,4
1271,-2.25,-70.25,5
1272,-1.75,-70.25,5
1273,-1.25,-70.25,5
1274,-0.75,-70.25,5
1275,-0.25,-70.25,5
1276,0.25,-70.25,5
1277,0.75,-70.25,5
1278,1.25,-70.25,5
1279,1.75,-70.25,5
1280,2.25,-70.25,5
1281,2.75,-70.25,5
1282,3.25,-70.25,5
1283,3.75,-70.25,5
1284,4.25,-70.25,5
1285,4.75,-70.25,5
1286,5.25,-70.25,5
1287,5.75,-70.25,5
1288,6.25,-70.25,2
1289,-21.25,-69.75,3
1290,-20.75,-69.75,3
1291,-20.25,-69.75,3
1292,-19.75,-69.75,3
1293,-19.25,-69.75,3
1294,-18.75,-69.75,3
1295,-18.25,-69.75,3
1296,-17.75,-69.75,3
1297,-17.25,-69.75,3
1298,-16.75,-69.75,3
1299,-16.25,-69.75,3
1300,-15.75,-69.75,3
1301,-15.25,-69.75,3
1302,-14.75,-69.75,3
1303,-14.25,-69.75,3
1304,-13.75,-69.75,1
1305,-13.25,-69.75,4
1306,-12.75,-69.75,4
1307,-12.25,-69.75,1
1308,-11.75,-69.75,1
1309,-11.25,-69.75,1
1310,-10.75,-69.75,1
1311,-10.25,-69.75,1
1312,-9.75,-69.75,1
1313,-9.25,-69.75,1
1314,-8.75,-69.75,1
1315,-8.25,-69.75,4
1316,-7.75,-69.75,4
1317,-7.25,-69.75,4
1318,-6.75,-69.75,4
1319,-6.25,-69.75,4
1320,-5.75,-69.75,4
1321,-5.25,-69.75,4
1322,-4.75,-69.75,4
1323,-4.25,-69.75,4
1324,-3.75,-69.75,4
1325,-3.25,-69.75,4
1326,-2.75,-69.75,4
1327,-2.25,-69.75,5
1328,-1.75,-69.75,5
1329,-1.25,-69.75,5
1330,-0.75,-69.75,5
1331,-0.25,-69.75,5
1332,0.25,-69.75,5
1333,0.75,-69.75,5
1334,1.25,-69.75,5
1335,1.75,-69.75,5
1336,2.25,-69.75,5
1337,2.75,-69.75,5
1338,3.25,-69.75,5
1339,3.75,-69.75,5
1340,4.25,-69.75,5
1341,4.75,-69.75,5
1342,5.25,-69.75,5
1343,5.75,-69.75,5
1344,6.25,-69.75,5
1345,-21.25,-69.25,3
1346,-20.75,-69.25,3
1347,-20.25,-69.25,3
1348,-19.75,-69.25,3
1349,-19.25,-69.25,3
1350,-18.75,-69.25,3
1351,-18.25,-69.25,3
1352,-17.75,-69.25,3
1353,-17.25,-69.25,3
1354,-16.75,-69.25,3
1355,-16.25,-69.25,3
1356,-15.75,-69.25,3
1357,-15.25,-69.25,3
1358,-14.75,-69.25,3
1359,-14.25,-69.25,1
1360,-13.75,-69.25,1
1361,-13.25,-69.25,1
1362,-12.75,-69.25,1
1363,-12.25,-69.25,1
1364,-11.75,-69.25,1
1365,-11.25,-69.25,1
1366,-10.75,-69.25,1
1367,-10.25,-69.25,1
1368,-9.75,-69.25,1
1369,-9.25,-69.25,1
1370,-8.75,-69.25,1
1371,-8.25,-69.25,1
1372,-7.75,-69.25,4
1373,-7.25,-69.25,4
1374,-6.75,-69.25,4
1375,-6.25,-69.25,4
1376,-5.75,-69.25,4
1377,-5.25,-69.25,4
1378,-4.75,-69.25,4
1379,-4.25,-69.25,4
1380,-3.75,-69.25,4
1381,-3.25,-69.25,4
1382,-2.75,-69.25,4
1383,-2.25,-69.25,5
1384,-1.75,-69.25,5
1385,-1.25,-69.25,5
1386,-0.75,-69.25,5
1387,-0.25,-69.25,5
1388,0.25,-69.25,5
1389,0.75,-69.25,5
1390,1.25,-69.25,5
1391,1.75,-69.25,5
1392,2.25,-69.25,5
1393,2.75,-69.25,5
1394,3.25,-69.25,5
1395,3.75,-69.25,5
1396,4.25,-69.25,5
1397,4.75,-69.25,5
1398,5.25,-69.25,5
1399,5.75,-69.25,5
1400,6.25,-69.25,5
1401,-21.25,-68.75,3
1402,-20.75,-68.75,3
1403,-20.25,-68.75,3
